# label: Alphabet Examples
# Farsi (Persian) — example words per alphabet letter (from a YouTube alphabet
# video). Order is the video's teaching sequence — study with "File order".
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
سوپ	سوپ	sup	soup
تپه	تَپّه	tappe	hill
پر	پَر	par	feather
دست	دَسْت	dast	hand
مترو	مِترو	metro	metro / subway
تهران	تِهران	tehran	Tehran
ثانیه	ثانیه	saniye	second (of time)
مثل	مِثْل	mesl	like / similar to
بحث	بَحْث	bahs	discussion / debate
جواب	جَواب	javab	answer
جوجه	جوجه	jujeh	chick
برنج	بِرِنْج	berenj	rice
چتر	چَتْر	chatr	umbrella
مورچه	مورچه	murche	ant
پیچ	پیچ	pich	screw / twist
حمام	حَمّام	hammam	bathroom
سحر	سَحَر	sahar	dawn
صبح	صُبْح	sobh	morning
خانه	خانه	khaneh	house
تخت	تَخْت	takht	bed
کاخ	کاخ	kakh	palace
درخت	دِرَخْت	derakht	tree
بادام	بادام	badam	almond
دود	دود	dud	smoke
ذهن	ذِهْن	zehn	mind
جذاب	جَذّاب	jazzab	attractive
کاغذ	کاغَذ	kaghaz	paper
راز	راز	raz	secret
قرمز	قِرْمِز	ghermez	red
روز	روز	ruz	day
سبزی	سَبْزی	sabzi	vegetable / greens
زنبور	زَنْبور	zanbur	bee
ژاپن	ژاپُن	zhapon	Japan
مژه	مِژه	mozhe	eyelash
گاراژ	گاراژ	garazh	garage
ساعت	ساعَت	saat	hour / clock
اسب	اَسْب	asb	horse
درس	دَرْس	dars	lesson
شیر	شیر	shir	milk / lion
ریشه	ریشه	rishe	root
آتش	آتَش	atash	fire
صابون	صابون	sabun	soap
عصر	عَصْر	asr	afternoon / evening
خاص	خاص	khas	special
ضرر	ضَرَر	zarar	harm / loss
راضی	راضی	razi	satisfied
قبض	قَبْض	ghabz	receipt / bill
طناب	طَناب	tanab	rope
قطار	قَطار	ghatar	train
خط	خَط	khat	line
ظهر	ظُهْر	zohr	noon
نظر	نَظَر	nazar	opinion / view
تلفظ	تَلَفُّظ	talafoz	pronunciation
عشق	عِشْق	eshgh	love
جمعه	جُمعه	jome	Friday
شام	شام	sham	dinner
شروع	شُروع	shoru	start / beginning
فردا	فَردا	farda	tomorrow
سفر	سَفَر	safar	trip / travel
برف	بَرْف	barf	snow
قند	قَنْد	ghand	sugar cube
بشقاب	بُشْقاب	boshghab	plate
برق	بَرْق	bargh	electricity / lightning
کمک	کُمَک	komak	help
کتاب	کِتاب	ketab	book
انگور	اَنْگور	angur	grape
رنگ	رَنْگ	rang	color
گاو	گاو	gav	cow
بلبل	بُلْبُل	bolbol	nightingale
لباس	لِباس	lebas	clothes
گل	گُل	gol	flower
نمک	نَمَک	namak	salt
مادر	مادَر	madar	mother
پیام	پِیام	payam	message
باران	باران	baran	rain
بنفش	بَنَفْش	banafsh	purple
نبات	نَبات	nabat	rock candy
مو	مو	mu	hair
گوش	گوش	gush	ear
نانوا	نانْوا	nanva	baker
ورزش	وَرْزِش	varzesh	sport / exercise
ماه	ماه	mah	moon / month
مه	مِه	meh	fog
بهشت	بِهِشْت	behesht	paradise / heaven
ماهی	ماهی	mahi	fish
هزار	هِزار	hezar	thousand
یک	یِک	yek	one
سیب	سیب	sib	apple
آبی	آبی	abi	blue
لیوان	لیوان	livan	glass / cup
پدر	پِدَر	pedar	father
زرد	زَرْد	zard	yellow
ازدواج	اِزْدِواج	ezdevaj	marriage
