# label: Titans
# The twelve Titans (children of Uranus & Gaia) plus notable second-generation
# Titans (Atlas, Prometheus, Helios, Selene, Eos, Leto). Ancient words, monotonic spelling.
# Columns: greek / translit / english (name) / type (domain).
greek	translit	english	type
Κρόνος	Krónos	Cronus	Leader of the Titans, time
Ρέα	Rhéa	Rhea	Motherhood, the flow
Ωκεανός	Ōkeanós	Oceanus	The world-ocean
Τηθύς	Tēthýs	Tethys	Fresh water, nursing
Υπερίων	Hyperíōn	Hyperion	Heavenly light
Θεία	Theía	Theia	Sight, the shining sky
Κοίος	Koîos	Coeus	Inquiry, the heavens' axis
Φοίβη	Phoíbē	Phoebe	Prophecy, the bright
Κρείος	Kreîos	Crius	The constellations
Μνημοσύνη	Mnēmosýnē	Mnemosyne	Memory
Θέμις	Thémis	Themis	Divine law, order
Ιαπετός	Iapetós	Iapetus	Mortality, craftsmanship
Άτλας	Átlas	Atlas	Bearer of the sky
Προμηθεύς	Promētheús	Prometheus	Forethought, fire-bringer
Επιμηθεύς	Epimētheús	Epimetheus	Afterthought
Λητώ	Lētṓ	Leto	Motherhood (of Apollo & Artemis)
Ήλιος	Hḗlios	Helios	The sun
Σελήνη	Selḗnē	Selene	The moon
Ηώς	Ēṓs	Eos	The dawn
