# label: Potential & Passive (〜eる / 〜られる)
# One potential-passive example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行ける	いける	godan-verb	(godan) potential — can go	[行: go/travel]
行かれる	いかれる	godan-verb	(godan) passive — be gone (to)	[行: go/travel]
食べられる	たべられる	ichidan-verb	(ichidan) potential/passive — can eat; be eaten	[食: eat/food]
できる	できる	irregular-verb	(する) potential — can do
される	される	irregular-verb	(する) passive — be done
来られる	こられる	irregular-verb	(来る) potential/passive — can come; be visited	[来: come]
買える	かえる	godan-verb	(godan) potential — can buy	[買: buy]
買われる	かわれる	godan-verb	(godan) passive — be bought	[買: buy]
書ける	かける	godan-verb	(godan) potential — can write	[書: write]
書かれる	かかれる	godan-verb	(godan) passive — be written	[書: write]
泳げる	およげる	godan-verb	(godan) potential — can swim	[泳: swim]
泳がれる	およがれる	godan-verb	(godan) passive — be swum	[泳: swim]
話せる	はなせる	godan-verb	(godan) potential — can speak	[話: speak/talk]
話される	はなされる	godan-verb	(godan) passive — be spoken	[話: speak/talk]
待てる	まてる	godan-verb	(godan) potential — can wait	[待: wait]
待たれる	またれる	godan-verb	(godan) passive — be awaited	[待: wait]
死ねる	しねる	godan-verb	(godan) potential — can die	[死: die]
死なれる	しなれる	godan-verb	(godan) passive — be died on (adversative)	[死: die]
遊べる	あそべる	godan-verb	(godan) potential — can play	[遊: play]
遊ばれる	あそばれる	godan-verb	(godan) passive — be played	[遊: play]
飲める	のめる	godan-verb	(godan) potential — can drink	[飲: drink]
飲まれる	のまれる	godan-verb	(godan) passive — be drunk	[飲: drink]
取れる	とれる	godan-verb	(godan) potential — can take	[取: take]
取られる	とられる	godan-verb	(godan) passive — be taken	[取: take]
見られる	みられる	ichidan-verb	(ichidan) potential/passive — can see; be seen	[見: see/look]
