# label: Feelings & Sensations
# Feelings & sensations — a person's emotions and bodily states.
# Belongs here: emotions (嬉しい, 悲しい, 寂しい) and body sensations (痛い,
# 眠い, かゆい, だるい). Judging a person/thing goes in character.tsv.
kanji	hiragana	type	english	breakdown
嬉しい	うれしい	i-adjective	happy; glad	[嬉: glad/delighted]
悲しい	かなしい	i-adjective	sad	[悲: sad/grief]
楽しい	たのしい	i-adjective	fun; enjoyable	[楽: fun/enjoyment]
苦しい	くるしい	i-adjective	painful; distressing	[苦: suffering/painful]
痛い	いたい	i-adjective	painful; sore	[痛: pain/ache]
怖い	こわい	i-adjective	scary; frightening; afraid	[怖: fear/scary]
欲しい	ほしい	i-adjective	wanted; desired	[欲: desire/want]
眠い	ねむい	i-adjective	sleepy	[眠: sleep/drowsy]
かゆい	かゆい	i-adjective	itchy
だるい	だるい	i-adjective	sluggish; languid
寂しい	さびしい	i-adjective	lonely	[寂: lonely/quiet]
恥ずかしい	はずかしい	i-adjective	embarrassed; ashamed	[恥: shame/embarrassment]
羨ましい	うらやましい	i-adjective	envious	[羨: envy]
憎い	にくい	i-adjective	hateful; detestable	[憎: hate/detest]
心強い	こころづよい	i-adjective	reassuring	[心: heart/mind | 強: strong]
心細い	こころぼそい	i-adjective	helpless; forlorn; uneasy	[心: heart/mind | 細: thin/slender]
悔しい	くやしい	i-adjective	frustrating; mortifying; regrettable	[悔: regret/vexation]
懐かしい	なつかしい	i-adjective	nostalgic; dear; fondly remembered	[懐: nostalgia/bosom]
情けない	なさけない	i-adjective	pathetic; miserable; shameful	[情: emotion/compassion]
凄まじい	すさまじい	i-adjective	terrific; fierce; tremendous	[凄: dreadful/fierce]
恨めしい	うらめしい	i-adjective	resentful; reproachful	[恨: resentment/grudge]
虚しい	むなしい	i-adjective	empty; futile; vain	[虚: empty/void]
恐ろしい	おそろしい	i-adjective	terrifying; frightful; dreadful	[恐: fear/dread]
