# label: Colors
# Farsi (Persian) — colors.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
رنگ	رَنْگ	rang	color
قرمز	قِرْمِز	ghermez	red
آبی	آبی	aabi	blue
سبز	سَبْز	sabz	green
زرد	زَرْد	zard	yellow
سفید	سِفید	sefid	white
سیاه	سیاه	siyaah	black
مشکی	مِشْکی	meshki	black
نارنجی	نارَنْجی	naarenji	orange
بنفش	بَنَفْش	banafsh	purple
صورتی	صورَتی	surati	pink
قهوه‌ای	قَهْوِه‌ای	ghahve'i	brown
خاکستری	خاکِسْتَری	khaakestari	gray
طلایی	طَلایی	talaayi	gold
نقره‌ای	نُقْرِه‌ای	noghre'i	silver
روشن	روشَن	roshan	light / bright
تیره	تیرِه	tire	dark
