# label: Character & Evaluation
# Character & evaluation — judging people and things.
# Belongs here: personality (優しい, 厳しい, ずるい) and good/bad/interesting
# judgments (良い, 悪い, 面白い, 凄い, 珍しい). One's own feelings go in
# feelings.tsv. The kana-common かわいい/すごい live in kana.tsv.
kanji	hiragana	type	english	breakdown
面白い	おもしろい	i-adjective	interesting; funny	[面: face/surface | 白: white]
つまらない	つまらない	i-adjective	boring; dull
優しい	やさしい	i-adjective	kind; gentle	[優: gentle/superior]
厳しい	きびしい	i-adjective	strict; severe	[厳: strict/stern]
正しい	ただしい	i-adjective	correct; right	[正: correct/right]
良い	よい	i-adjective	good	[良: good/fine]
悪い	わるい	i-adjective	bad	[悪: bad/evil]
凄い	すごい	i-adjective	amazing; awesome	[凄: amazing/dreadful]
偉い	えらい	i-adjective	great; admirable	[偉: great/admirable]
美しい	うつくしい	i-adjective	beautiful	[美: beauty/beautiful]
可愛い	かわいい	i-adjective	cute	[可: -able/may | 愛: love/affection]
ずるい	ずるい	i-adjective	sly; cunning; unfair
ひどい	ひどい	i-adjective	terrible; awful; cruel
うるさい	うるさい	i-adjective	noisy; annoying
珍しい	めずらしい	i-adjective	rare; unusual	[珍: rare/curious]
詳しい	くわしい	i-adjective	detailed; knowledgeable	[詳: detailed/in depth]
怪しい	あやしい	i-adjective	suspicious; dubious	[怪: suspicious/mysterious]
頼もしい	たのもしい	i-adjective	reliable; dependable	[頼: rely/dependable]
素晴らしい	すばらしい	i-adjective	wonderful; splendid	[素: element/plain | 晴: clear/fine weather]
賢い	かしこい	i-adjective	clever; smart; wise	[賢: wise/clever]
うまい	うまい	i-adjective	good at; skillful; tasty
かっこいい	かっこいい	i-adjective	cool; stylish; good-looking
大人しい	おとなしい	i-adjective	quiet; docile; well-behaved	[大: big/grown | 人: person]
親しい	したしい	i-adjective	close; intimate; friendly	[親: intimate/close]
だらしない	だらしない	i-adjective	sloppy; slovenly; undisciplined
ださい	ださい	i-adjective	uncool; lame; tacky
