# label: Concepts / Expression & Perception
# Communication, expression, reactions, and the senses — speech acts, sounds, smells, truth/secrecy.
kanji	hiragana	type	english	breakdown
匂い	におい	noun	smell; odor	[匂: smell/scent]
注意書き	ちゅういがき	noun	caution note; fine print	[注: pour/note | 意: meaning/intent | 書: write]
音	おと	noun	sound
謎	なぞ	noun	mystery; riddle
香り	かおり	noun	scent; fragrance	[香: scent/fragrance]
真実	しんじつ	noun	truth; reality	[真: true/real | 実: truth/fruit]
秘密	ひみつ	noun	secret	[秘: secret | 密: dense/secret]
偽物	にせもの	noun	fake; counterfeit; imitation	[偽: false/fake | 物: thing]
虚偽	きょぎ	noun	falsehood; untruth	[虚: empty/false | 偽: false/fake]
兆候	ちょうこう	noun	sign; indication; symptom	[兆: sign/omen | 候: signs/wait]
前兆	ぜんちょう	noun	omen; precursor; warning sign	[前: before/front | 兆: sign/omen]
兆し	きざし	noun	sign; symptom; indication	[兆: sign/omen]
描写	びょうしゃ	noun	depiction; portrayal	[描: draw/depict | 写: copy/describe]
主張	しゅちょう	noun	assertion; claim; insistence	[主: main/self | 張: stretch/assert]
絶叫	ぜっきょう	noun	scream; exclamation	[絶: utmost/sever | 叫: shout/scream]
文句	もんく	noun	complaint; phrase; words	[文: writing/sentence | 句: phrase/clause]
脱帽	だつぼう	noun	taking off one's hat; admiration	[脱: remove/take off | 帽: hat/cap]
弁解	べんかい	noun	excuse; justification	[弁: speak/explain | 解: untie/explain]
色彩	しきさい	noun	color; coloration	[色: color | 彩: coloring/hue]
納得	なっとく	noun	understanding; consent; being convinced	[納: accept/take in | 得: gain/obtain]
悲鳴	ひめい	noun	scream; shriek	[悲: sad/grief | 鳴: cry/sound]
憶測	おくそく	noun	speculation; guesswork	[憶: recall/conjecture | 測: measure/gauge]
掲示	けいじ	noun	notice; posting; bulletin	[掲: post/display | 示: show/indicate]
提案	ていあん	noun	proposal; suggestion	[提: propose/present | 案: plan/idea]
箇条書き	かじょうがき	noun	itemization; bullet points	[箇: (counter) item | 条: article/clause | 書: write]
相槌	あいづち	noun	interjections showing one is listening	[相: mutual/together | 槌: mallet/hammer]
反応	はんのう	noun	reaction; response	[反: react/anti | 応: respond]
要求	ようきゅう	noun	demand; request	[要: need/essential | 求: seek/request]
異議	いぎ	noun	objection; dissent	[異: different | 議: discuss/deliberate]
皮肉	ひにく	noun	irony; sarcasm	[皮: skin | 肉: flesh/meat]
省略	しょうりゃく	noun	omission; abbreviation	[省: omit/reflect | 略: abbreviate/omit]
暴露	ばくろ	noun	exposure; disclosure	[暴: violent/expose | 露: dew/reveal]
お礼	おれい	noun	thanks; expression of gratitude	[礼: courtesy/thanks]
神秘	しんぴ	noun	mystery; mysticism	[神: god/divine | 秘: secret/mystery]
極秘	ごくひ	noun	top secret	[極: extreme/utmost | 秘: secret]
糸口	いとぐち	noun	clue; lead; thread	[糸: thread | 口: mouth/opening]
督促	とくそく	noun	demand; dunning; pressing	[督: oversee/urge | 促: urge/prompt]
抜粋	ばっすい	noun	excerpt; extract	[抜: extract/pull out | 粋: essence/pure]
悪臭	あくしゅう	noun	stench; foul smell	[悪: bad/evil | 臭: smell/stink]
批評	ひひょう	noun	criticism; review	[批: criticize | 評: evaluate/comment]
好評	こうひょう	noun	favorable reception; good reputation	[好: good/like | 評: evaluate/comment]
