# label: Quality & Condition
# Quality & condition — physical qualities and states of things.
# Belongs here: brightness (明るい, 暗い), texture/firmness (硬い, 柔らかい,
# 鋭い), cleanliness (汚い, 臭い), difficulty (難しい, 易しい), and states like
# 忙しい, 危ない, 騒がしい. Size goes in size.tsv; people/judgments in character.tsv.
kanji	hiragana	type	english	breakdown
清い	きよい	i-adjective	pure; clean	[清: pure/clear]
強い	つよい	i-adjective	strong	[強: strong]
弱い	よわい	i-adjective	weak	[弱: weak]
明るい	あかるい	i-adjective	bright; cheerful	[明: bright/clear]
暗い	くらい	i-adjective	dark; gloomy	[暗: dark/dim]
難しい	むずかしい	i-adjective	difficult	[難: difficult/hardship]
易しい	やさしい	i-adjective	easy (rare kanji)	[易: easy/simple]
忙しい	いそがしい	i-adjective	busy	[忙: busy]
汚い	きたない	i-adjective	dirty	[汚: dirty/filthy]
臭い	くさい	i-adjective	smelly	[臭: smell/stink]
危ない	あぶない	i-adjective	dangerous	[危: danger]
硬い	かたい	i-adjective	hard (solid; firm)	[硬: hard/stiff]
固い	かたい	i-adjective	solid; firm; tight	[固: hard/firm]
柔らかい	やわらかい	i-adjective	soft	[柔: soft/supple]
鋭い	するどい	i-adjective	sharp; keen	[鋭: sharp/keen]
鈍い	にぶい	i-adjective	dull; blunt; slow	[鈍: dull/blunt]
眩しい	まぶしい	i-adjective	dazzling; glaring	[眩: dazzling/glaring]
粗い	あらい	i-adjective	coarse; rough	[粗: coarse/rough]
弱々しい	よわよわしい	i-adjective	feeble; frail	[弱: weak]
きつい	きつい	i-adjective	tight; harsh; tough
騒がしい	さわがしい	i-adjective	noisy; boisterous	[騒: noisy/clamor]
忙しない	せわしない	i-adjective	restless; hectic	[忙: busy/restless]
激しい	はげしい	i-adjective	intense; violent; fierce	[激: intense/violent]
貧しい	まずしい	i-adjective	poor; needy	[貧: poor/needy]
険しい	けわしい	i-adjective	steep; rugged; stern	[険: steep/rugged]
濃い	こい	i-adjective	thick; dense; strong (color/flavor)	[濃: thick/dense]
もったいない	もったいない	i-adjective	wasteful; too good to waste
乏しい	とぼしい	i-adjective	scarce; meager	[乏: scarce/lacking]
幅広い	はばひろい	i-adjective	wide-ranging; broad	[幅: width | 広: wide/broad]
拙い	つたない	i-adjective	clumsy; unskillful; poor	[拙: clumsy/unskilled]
軟らかい	やわらかい	i-adjective	soft; tender	[軟: soft/tender]
著しい	いちじるしい	i-adjective	remarkable; striking; marked	[著: marked/notable]
薄暗い	うすぐらい	i-adjective	dim; gloomy	[薄: thin/faint | 暗: dark/dim]
