# label: Food & Drink
# Farsi (Persian) — food, drink, and meals.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
غذا	غَذا	ghazaa	food
آب	آب	aab	water
نان	نان	naan	bread
چای	چای	chaay	tea
قهوه	قَهْوِه	ghahve	coffee
شیر	شیر	shir	milk
برنج	بِرِنْج	berenj	rice
گوشت	گوشْت	gusht	meat
مرغ	مُرْغ	morgh	chicken
ماهی	ماهی	maahi	fish
تخم‌مرغ	تُخْمِ‌مُرْغ	tokhm-e-morgh	egg
پنیر	پَنیر	panir	cheese
کره	کَرِه	kare	butter
سیب‌زمینی	سیبْ‌زَمینی	sib-zamini	potato
گوجه‌فرنگی	گوجِه‌فَرَنْگی	goje-farangi	tomato
پیاز	پیاز	piyaaz	onion
سبزی	سَبْزی	sabzi	herbs / greens
میوه	میوِه	mive	fruit
سیب	سیب	sib	apple
پرتقال	پُرْتُقال	porteghaal	orange
موز	موز	moz	banana
انگور	اَنْگور	angur	grapes
هندوانه	هِنْدِوانِه	hendevaane	watermelon
نمک	نَمَک	namak	salt
شکر	شِکَر	shekar	sugar
روغن	روغَن	roghan	oil
شیرینی	شیرینی	shirini	sweets / pastry
صبحانه	صُبْحانِه	sobhaane	breakfast
ناهار	ناهار	naahaar	lunch
شام	شام	shaam	dinner
