kanji	hiragana	type	english
喜び	よろこび	noun	joy
緊張	きんちょう	noun	tension; nervousness
期待	きたい	noun	expectation
不安	ふあん	noun	anxiety
嫉妬	しっと	noun	jealousy
誇り	ほこり	noun	pride
後悔	こうかい	noun	regret
憧れ	あこがれ	noun	admiration; longing
寂しさ	さびしさ	noun	loneliness
満足	まんぞく	noun	satisfaction
恥	はじ	noun	shame
苛立ち	いらだち	noun	irritation
気持ち	きもち	noun	feeling
運	うん	noun	luck; fortune
鬱	うつ	noun	depression; gloom
覚悟	かくご	noun	resolve; readiness
孤独	こどく	noun	solitude; loneliness
やる気	やるき	noun	motivation; willingness
気分	きぶん	noun	feeling; mood
運命	うんめい	noun	fate; destiny
絶望	ぜつぼう	noun	despair; hopelessness
怒り	いかり	noun	anger; rage
希望	きぼう	noun	hope; wish
勇気	ゆうき	noun	courage; bravery
困惑	こんわく	noun	bewilderment; perplexity
執着	しゅうちゃく	noun	attachment; obsession
機嫌	きげん	noun	mood; temper; humor
激怒	げきど	noun	fury; rage
記念	きねん	noun	commemoration; memento
恨み	うらみ	noun	grudge; resentment
悩み	なやみ	noun	worry; trouble; problem
苦悩	くのう	noun	anguish; suffering
憎しみ	にくしみ	noun	hatred; enmity
欲望	よくぼう	noun	desire; craving
不満	ふまん	noun	dissatisfaction; discontent
度胸	どきょう	noun	courage; nerve; guts
衝動	しょうどう	noun	impulse; urge
感謝	かんしゃ	noun	gratitude; thanks
好奇心	こうきしん	noun	curiosity
歓喜	かんき	noun	delight; great joy
恐怖	きょうふ	noun	fear; terror; dread
笑顔	えがお	noun	smiling face; smile
